localhost:3306/i9633822_wp2/wp_wpms_links/		https://madredemisericordia.es:2083/cpsess1822861666/3rdparty/phpMyAdmin/index.php?route=/table/sql&db=i9633822_wp2&table=wp_wpms_links

   Showing rows 0 - 24 (120 total, Query took 0.0009 seconds.)


SELECT * FROM `wp_wpms_links` WHERE link_final_url is NOT NULL;


id	link_url	link_final_url	link_url_redirect	link_text	source_id	type	status_code	status_text	hit	redirect	broken_indexed	broken_internal	warning	dismissed	follow	meta_title	internal	referrer	
109	http://travelbybaking.com/soft-and-delicious-mini-...	http://travelbybaking.com/soft-and-delicious-mini-...		Soft and delicious mini bacon buns (Latvian piragi...	244	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
673	https://www.thefrenchcookingacademy.com/recipes/ma...	https://www.thefrenchcookingacademy.com/recipes/ma...		Madeleines — French Cooking Academy (thefrenchcook...	427	url	HTTP/1.0 200 OK	200 OK	1	0	0	0	0	0	1	Source of original French Madeleines recipe	0		
686	https://www.britannica.com/dictionary/convert	https://www.britannica.com/dictionary/convert		convert	251	url	HTTP/1.1 403 Forbidden	403 Forbidden	1	0	0	0	0	0	1		0		
687	https://www.britannica.com/science/temperature	https://www.britannica.com/science/temperature		temperature	251	url	HTTP/1.1 403 Forbidden	403 Forbidden	1	0	0	0	0	0	1		0		
688	https://www.britannica.com/science/Fahrenheit-temp...	https://www.britannica.com/science/Fahrenheit-temp...		Fahrenheit	251	url	HTTP/1.1 403 Forbidden	403 Forbidden	1	0	0	0	0	0	1		0		
689	https://en.wikipedia.org/wiki/United_Kingdom	https://en.wikipedia.org/wiki/United_Kingdom		United Kingdom	251	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
690	https://en.wikipedia.org/wiki/Republic_of_Ireland	https://en.wikipedia.org/wiki/Republic_of_Ireland		Ireland	251	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
691	https://en.wikipedia.org/wiki/Commonwealth_of_Nati...	https://en.wikipedia.org/wiki/Commonwealth_of_Nati...		Commonwealth of Nations	251	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
692	https://en.wikipedia.org/wiki/Degrees_Fahrenheit	https://en.wikipedia.org/wiki/Degrees_Fahrenheit		degrees Fahrenheit	251	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
693	https://en.wikipedia.org/wiki/Degrees_Celsius	https://en.wikipedia.org/wiki/Degrees_Celsius		degrees Celsius	251	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
694	https://travelbybaking.com/wp-content/uploads/2024...	https://travelbybaking.com/wp-content/uploads/2024...			251	image	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
695	http://travelbybaking.com/wp-content/uploads/2023/...	http://travelbybaking.com/wp-content/uploads/2023/...			251	image	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
698	https://www.pardonyourfrench.com/strawberry-flaugn...	https://www.pardonyourfrench.com/strawberry-flaugn...		https://www.pardonyourfrench.com/strawberry-flaugn...	325	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1	Source of Strawberry Flaugnarde original recipe	0		
754	https://themediterraneanfork.com/	https://themediterraneanfork.com/		https://themediterraneanfork.com/	496	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
757	#7243c31f-600d-4e2b-8358-efff5ce1c3cf	/%category%/%postname%//#7243c31f-600d-4e2b-8358-e...		1	189	url	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
1064	https://travelbybaking.com/converting-oven-tempera...	https://travelbybaking.com/converting-oven-tempera...		Converting oven temperatures	289	url	HTTP/1.1 200 OK	200 OK	5	0	0	0	0	0	1		0	https://travelbybaking.com	
1065	https://travelbybaking.com/wp-content/uploads/2024...	https://travelbybaking.com/wp-content/uploads/2024...			289	image	HTTP/1.1 200 OK	200 OK	1	0	0	0	0	0	1		0		
